clause_text,risk_category
"This Agreement takes effect upon its acceptance and execution by AIRSOPURE in the State of Texas, and shall be interpreted and construed under the laws of the State of Texas.",Standard Clause
The evidence of insurance shall include a statement by the insurer that the policy or policies will not be canceled or materially altered without at least 30 days prior written notice to AIRSOPURE.,Indemnity Risk
"You shall procure and maintain in full force and effect during the term of this Agreement, at Your expense, insurance policies written by an insurance company satisfactory to AIRSOPURE in accordance with standards and specifications set forth in the Operations Manual or otherwise by AIRSOPURE in writing. Such policies shall name AIRSOPURE as an additional insured and shall include, at a minimum:

A. Comprehensive general liability insurance in the amount of $1,000,000.00.

B. Comprehensive automobile liability insurance, including collision, comprehensive, medical and liability to satisfy state law requirements.

C. Additional coverage's and higher policy limits may be required from time to time by AIRSOPURE.",Indemnity Risk
"""Expiration Date"" means March 31, 2020.",Termination Risk
"The interpretation, construction and performance of this Agreement, and the rights granted and obligations arising hereunder, shall be governed in accordance with the substantive laws of the State of New York, without regard to its conflicts of law rules.",Standard Clause
"In partial consideration of Company's Promotion of the Product in accordance with the terms of this Agreement, and subject to the terms and conditions of this Agreement, with respect to each Calendar Quarter during Calendar Year 2019 and Calendar Year 2020, Janssen shall pay Company a service fee (the ""Service Fee""), as follows:

(a) with respect to each Calendar Quarter during Calendar Year 2019, an amount equal to (i) [***] percent ([***]%) of that portion of Cumulative Net Sales that is greater than the Baseline for Calendar Year 2019, less (ii) the total Service Fees that have been invoiced by Company to Janssen for all preceding Calendar Quarters of Calendar Year 2019; and





(b) with respect to each Calendar Quarter during Calendar Year 2020, an amount equal to (i) [***] percent ([***]%) of that portion of Cumulative Net Sales that is greater than the Baseline for Calendar Year 2020, less (ii) the total Service Fees that have been invoiced by Company to Janssen for all preceding Calendar Quarters of Calendar Year 2020.",Payment Risk
"If Company fails to achieve the Minimum Number of Details Requirement, the Minimum Reach Requirement or, if applicable, the Minimum PDE Requirement or the Minimum Top Target Requirement in any Detailing Period, Janssen shall have the right to terminate this Agreement by giving thirty (30) days' notice, unless:

(a) Company complied with and performed its Detailing activities in accordance with any Remediation Plans developed by Company and approved by Janssen during such Detailing Period; or

(b) if (i) neither Party provided a Performance Failure Notice under Section 3.2.4 during such Detailing Period and (ii) Company performs additional Details in the first month after such Detailing Period such that, if such Details had been performed during such Detailing Period, they would have been sufficient to cure the failure to achieve the Minimum Number of Details Requirement, the Minimum Reach Requirement, the Minimum PDE Requirement or the Minimum Top Target Requirement, as applicable. To avoid double-counting, such additional Details will not be taken into account when determining whether Company satisfies the Minimum Number of Details Requirement, Minimum Reach Requirement or, if applicable, the Minimum PDE Requirement or the Minimum Top Target Requirement in the then-current Detailing Period.",Payment Risk
"If the average number of Sales Representatives on the Sales Force is less than twenty-five (25) over any forty-five (45)-day period, Janssen will have the right to terminate this Agreement by giving thirty (30) days' notice.",Payment Risk
"For clarity, (i) Company must achieve all of the applicable foregoing minimum requirements in order to avoid giving rise to Janssen's rights and remedies under this Section 3.2.3, and (ii) such rights shall be in addition to any other rights and remedies that may be available to Janssen under applicable Laws in the event of any such failure on the part of Company.",Payment Risk
"At a minimum, Company shall cause its Sales Force to satisfy the Minimum Number of Details Requirement, the Minimum Reach Requirement and, if applicable, the Minimum PDE Requirement and the Minimum Top Target Requirement set forth in Exhibit B in each Detailing Period.",Payment Risk
"At all times during the Term, Company shall use reasonable efforts to deploy and maintain a sales force (the ""Sales Force"") of at least [***] ([***]) Sales Representatives who satisfy the conditions described in Section 3.3.1.",Payment Risk
"FURTHER, SUBJECT TO AND WITHOUT LIMITING THE INDEMNIFICATION OBLIGATIONS OF EACH PARTY WITH RESPECT TO THIRD PARTY ACTIONS UNDER SECTIONS 12.1 AND 12.2, AND EXCEPT WITH RESPECT TO LIABILITY ARISING FROM BREACH OF SECTION 9.1 BY A PARTY OR ARISING FROM THE GROSS NEGLIGENCE OR WILLFUL MISCONDUCT OF A PARTY, EACH PARTY'S AGGREGATE LIABILITY TO THE OTHER PARTY FOR ALL CASES AND CONTROVERSIES ARISING OUT OF THE SUBJECT MATTER OF THIS AGREEMENT, REGARDLESS OF THE CAUSE OF ACTION AND WHETHER BROUGHT IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY OR OTHERWISE, WILL BE LIMITED TO $[***].",Liability Risk
"SUBJECT TO AND WITHOUT LIMITING THE INDEMNIFICATION OBLIGATIONS OF EACH PARTY WITH RESPECT TO THIRD PARTY ACTIONS UNDER SECTIONS 12.1 AND 12.2, AND EXCEPT WITH RESPECT TO LIABILITY ARISING FROM BREACH OF SECTION 9.1 BY A PARTY, NO PARTY OR ANY OF ITS AFFILIATES WILL BE LIABLE TO THE OTHER PARTY OR ITS AFFILIATES UNDER ANY CONTRACT, WARRANTY, NEGLIGENCE, TORT, STRICT LIABILITY OR OTHER LEGAL OR EQUITABLE THEORY FOR ANY SPECIAL, INDIRECT, INCIDENTAL, PUNITIVE, MULTIPLIED OR CONSEQUENTIAL DAMAGES, OR OTHER DAMAGES FOR LOSS OF PROFIT, SALES OR FEES, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT OR ITS SUBJECT MATTER.",Liability Risk
"SUBJECT TO AND WITHOUT LIMITING THE INDEMNIFICATION OBLIGATIONS OF EACH PARTY WITH RESPECT TO THIRD PARTY ACTIONS UNDER SECTIONS 12.1 AND 12.2, AND EXCEPT WITH RESPECT TO LIABILITY ARISING FROM BREACH OF SECTION 9.1 BY A PARTY, NO PARTY OR ANY OF ITS AFFILIATES WILL BE LIABLE TO THE OTHER PARTY OR ITS AFFILIATES UNDER ANY CONTRACT, WARRANTY, NEGLIGENCE, TORT, STRICT LIABILITY OR OTHER LEGAL OR EQUITABLE THEORY FOR ANY SPECIAL, INDIRECT, INCIDENTAL, PUNITIVE, MULTIPLIED OR CONSEQUENTIAL DAMAGES, OR OTHER DAMAGES FOR LOSS OF PROFIT, SALES OR FEES, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT OR ITS SUBJECT MATTER",Liability Risk
"The term of this Agreement shall be one (1) year unless terminated earlier in accordance with the terms of this Agreement (the ""Term"").",Termination Risk
"This Agreement and its application and interpretation will be governed exclusively by its terms and the laws of the State of Nevada (USA), and excluding any conflicts of law provisions which would require the application of any law other than Nevada.",Standard Clause
The Parties may terminate its performance of related obligations under this Agreement within thirty (30) days of receipt by the Party of written termination notice.,Termination Risk
GINARES  agrees that the sole and exclusive remedy for money damages related to this Agreement and the transactions contemplated hereby shall be the rights to indemnification set forth in this Section 9.,Liability Risk
HPIL ET agrees that the sole and exclusive remedy for money damages relating to this Agreement and the transactions contemplated hereby shall be the rights to indemnification set forth in this Section 10.,Liability Risk
Contract is renewable for 1 year extension by amendment to this agreement.,Termination Risk
This Agreement shall be governed by and construed under the laws of the Commonwealth of Virginia without regard to the conflicts of law provisions thereof.,Standard Clause
Either Party may terminate this agreement for non-cause with a sixty (60) written notice.,Termination Risk
"25% of Net Revenue (as defined in Section 1e.) with a COMPANY-RESELLER AGREED UPON SALE PRICE in writing, the case of COMPANY's software products.",Payment Risk
"EXCEPT FOR IN THE EVENT OF WILLFUL MISCONDUCT OR GROSS NEGLIGENCE, THE RESELLER AND ITS AFFILIATES SHALL NOT BE LIABLE TO THE COMPANY, AND SHALL HAVE NO OBLIGATION TO INDEMNIFY OR HOLD HARMLESS THE COMPANY, WITH RESPECT TO OR IN CONNECTION WITH ANY LOSS RESULTING FROM OR CAUSED BY THE COMPANY PRODUCTS.",Liability Risk
"The term of this Agreement shall extend from the date of          execution hereof through and until _______, unless extended by written          agreement of the parties.",Termination Risk
"This Agreement shall be construed and enforced in            accordance with, and governed by the laws of the State of Colorado           without regard to conflicts of laws principles.",Standard Clause
"Should the services of the          Professional be required for longer than one day, the Professional           shall be entitled to his daily appearance fee, plus reasonable           expenses, for each day in excess of one day.",Payment Risk
"This Agreement shall take effect as of the Effective Date and shall expire upon completion of the Project as set forth in the Project Plan and after payment of all payments due and payable according to this Agreement, unless terminated earlier in accordance with this Agreement.",Termination Risk
"This Agreement shall be exclusively governed by and construed in accordance with the laws of the State of New York, USA without regard to its conflict of laws provisions.",Standard Clause
"With the exception of wilful misconduct by a Party, and such cases where a limitation of liability and/or indemnification is not possible under applicable law, for which cases there shall be no limitation, any and all liability and/or indemnification obligations of each of BII and XENCOR under this Agreement shall be:   a. excluded for incidental, indirect, consequential, punitive or special damages (provided that the foregoing shall not exclude a Party's right to consequential or incidental",Liability Risk
"damages for any negligent or intentional breach of confidentiality and non-use obligations under Section 9); and   b. each Party's aggregate liability and/or indemnification obligations towards the other Party under this Agreement shall not exceed an amount equal to the average annual aggregate amount paid or to be paid by XENCOR to BII hereunder; provided, however, that in the case of a Party's negligent or intentional breach of confidentiality and non­use obligations pursuant to Section 9, this limitation of liability shall be increased to twice the average annual aggregate amount paid or to be paid by XENCOR to BII hereunder;   provided however that the foregoing Subsections a. and b. of this Section 7.4 shall not limit XENCOR' s liability and indemnification obligation towards BII with respect to any third party claims according to clause (iii) and (iv) of Section 7.3 b. regarding any use of the Deliverables (in particular the Product) in humans and/or with respect to any third party claim that BII's use of the Material to manufacture the Product infringes any issued patent owed by such third party (excluding any such claim based specifically on use of the Process but not on the use of the Material).",Liability Risk
"For avoidance of doubt, all BII liability or indemnification obligation that might result from representations and the warranties under this Section 6 are always subject to the limitations set forth in Section 7.4 of this Agreement.",Liability Risk
"damages for any negligent or intentional breach of confidentiality and non-use obligations under Section 9); and   b. each Party's aggregate liability and/or indemnification obligations towards the other Party under this Agreement shall not exceed an amount equal to the average annual aggregate amount paid or to be paid by XENCOR to BII hereunder; provided, however, that in the case of a Party's negligent or intentional breach of confidentiality and non­use obligations pursuant to Section 9, this limitation of liability shall be increased to twice the average annual aggregate amount paid or to be paid by XENCOR to BII hereunder;   provided however that the foregoing Subsections a. and b. of this Section 7.4 shall not limit XENCOR' s liability and indemnification obligation towards BII with respect to any third party claims according to clause (iii) and (iv) of Section 7.3 b. regarding any use of the Deliverables (in particular the Product) in humans and/or with respect to any third party claim that BII's use of the Material to manufacture the Product infringes any issued patent owed by such third party (excluding any such claim based specifically on use of the Process but not on the use of the Material)",Liability Risk
BII shall have the right to reasonably self insure.,Indemnity Risk
"XENCOR and BII shall obtain and/or maintain during the term of this Agreement and for a period of [...***...] thereafter, liability insurance in amounts which are reasonable and customary in the biopharmaceutical industry for companies of comparable size and the respective activities (i.e. BII as CMO and XENCOR as sponsor/pharmaceutical company) at the respective place of business and such liability insurance shall insure against all mandatory liability, including liability for personal injury, physical injury and property damage.",Indemnity Risk
"The term of this Agreement will begin on December 15, 1997                   and will end the later of (i) December 15, 1999 or (ii)                   Excite's delivery of all of the guaranteed Click-throughs                   described in Section 1(f).",Termination Risk
"This Agreement will be governed by and                   construed in accordance with the laws of the State of                   California, notwithstanding the actual state or country of                   residence or incorporation of NetGrocer.",Standard Clause
Such link will be displayed                            as the left-most link or top-most link at least                            fifty percent (50%) of the time.,Payment Risk
"If Excite does                   not make good the difference within [*] days, NetGrocer may                    suspend (but not eliminate) its payments of the sponsorship                    and advertising fees described in Section 5(b) and 5(c) until                   the make-good is delivered, at which time NetGrocer will                    resume its payments of the sponsorship and advertising fees.",Payment Risk
"Excite guarantees that it will deliver [*] ""Click-throughs"" on                   the promotional placements and advertising banners described                   in Section 1 (a) - (d) in the first year of the term of the                   Agreement by delivering [*] of the annual guaranteed                   ""Click-throughs"" in the first quarter of the first year of                   the term of the Agreement, a cumulative total of [*] of the                   annual guaranteed ""Click-throughs"" in the second quarter of                   the first year of the term of the Agreement, a cumulative                   total of [*] of the annual guaranteed ""Click-throughs"" in                   the third quarter of the first year of the term of the                   Agreement and a cumulative total of 100% of the annual                   guaranteed ""Click-throughs"" in the fourth quarter of the





                  first year of the term of the Agreement.",Payment Risk
"Excite guarantees                   that it will deliver four million fifty thousand (4,050,000)                   ""Click-throughs"" on the promotional placements and                   advertising banners described in Section 1(a) - (d) in the                   second year of the term of the Agreement by delivering [*] of                   the annual guaranteed ""Click-throughs"" in the first quarter                   of the second year of the term of the Agreement, a cumulative                   total of [*] of the annual guaranteed ""Click-throughs"" in the                   second quarter of the second year of the term of the                   Agreement, a cumulative total of [*] of the annual guaranteed                   ""click-throughs"" in the third quarter of the second year of                   the term of the Agreement and a cumulative total of 100% of                   the annual guaranteed ""Click-throughs"" in the fourth quarter                   of the second year of the term of the Agreement.",Payment Risk
"If Excite misses any quarterly guaranteed Click-through                   amount, Excite will make good the difference within [*]                   days following the end of such quarter.",Payment Risk
"EXCEPT UNDER SECTION 11(a), IN NO EVENT WILL EITHER PARTY BE LIABLE TO          THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES,          WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR          OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE          POSSIBILITY OF SUCH DAMAGE. THE LIABILITY OF EXCITE FOR DAMAGES OR          ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER          LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE TOTAL AMOUNTS          PREVIOUSLY PAID OR TO BE PAID BY NETGROCER TO EXCITE HEREUNDER [*]",Liability Risk
"Except as otherwise specified in this Agreement, the Parties' respective rights and obligations under this Agreement shall commence on the Effective Date and shall remain in full force for ten (10) years after the First Commercial Sale of the first Licensed Product, and shall thereafter automatically renew for an unlimited period of time unless otherwise terminated in accordance with Section 15.2.",Termination Risk
"This Agreement shall be governed by and construed in accordance with the laws of [***], without regard to the conflicts of law principles thereof, and [***].",Standard Clause
"Licensee may terminate this Agreement for convenience upon eighteen (18) months' advance written notice to Bioeq; provided, however, that any such termination for convenience shall not become effective prior to twelve (12) months after the First Commercial Sale of the first Licensed Product.",Termination Risk
"In addition, Licensee shall pay to Bioeq the following royalties on Licensee's and its Affiliates' Gross Margins (calculated in accordance with Section 7.3.3) generated through the sale of Licensed Products in the Field in the Territory:

(a) Prior to [***], Licensee shall pay to Bioeq royalties in the amount of [***] percent ([***]%) on Licensee's and its Affiliates' Gross Margins (calculated in accordance with Section 7.3.3) generated through the sale of Licensed Products in the Field in the Territory, payable on a Licensed Product-by-Licensed Product basis, and subject to Section 7.3.1(c) hereunder.

(b) Starting [***], Licensee shall pay to Bioeq royalties in the amount of [***] percent ([***]%) on the Licensee's and its Affiliates' Gross Margins generated through the sale of Licensed Products in the Field in the Territory, payable on a Licensed Product‑by‑Licensed Product basis, and subject to Section 7.3.1(c) hereunder.",Payment Risk
"The license granted by Licensee pursuant to Section 9.2.2 shall be extended to also include the Development, Manufacture, sale, import or other Commercialization of Licensed Products in the Field in the Territory, and, unless this Agreement is terminated by Bioeq pursuant to pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5 (in [***]), such license shall thereafter be royalty-bearing on Bioeq on Net Sales (applied mutatis mutandis as if Bioeq were Licensee, and additionally applying to sales by sublicensees of Bioeq) by Bioeq, its Affiliates, and its sublicensees of Licensed Products in the Field in the Territory which have [***] Licensee Improvement, at [***].",Payment Risk
"In particular, Licensee commits to:",Payment Risk
"(c) dedicate the minimum pre-launch and post-launch resources specified in Section B of Schedule 6.2(c) to its Commercialization of the Licensed Products in the Territory in accordance with the Commercialization Plan during each year ([***]) after the First Commercial Sale of any Licensed Product in the Field in the Territory until [***] (Commercialization Commitment Period); provided that if Licensee [***], then the commercialization commitments as set forth in Section B of Schedule 6.2(c) shall continue to apply except that the [***]. For clarity, after the expiration of the Commercialization Commitment Period, Licensee shall have no further obligation under this Section 6.2(c).",Payment Risk
"Subject to the second sentence of this Section 15.2.2, Bioeq may notify Licensee of its intent to terminate this Agreement anytime within thirty ([***]) days following the end of any [***] ([***]) month time period starting [***] ([***]) months after the First Commercial Sale of the first [***] Product in the Field in the Territory upon written notice to Licensee, if Licensee, with respect to its sales of Licensed Products in the Field in the Territory, has not achieved an average market share of at least [***] percent ([***]%) of the [***] (such market excluding for clarity in all cases [***]), calculated based on [***] in the Field in the Territory in the [***] ([***]) months prior to the end of such [***] ([***]) month time period (i.e., for example, in months [***] of the [***] after the First Commercial Sale of such [***] Product) (Minimum Market Share Requirement); upon Licensee's receipt of such notice from Bioeq, if Licensee does not achieve the Minimum Market Share Requirement, applied mutatis mutandis, during the subsequent [***] ([***]) months period following its receipt of such notice from Bioeq (Licensee Cure Period), Bioeq may terminate this Agreement upon written notice to Licensee; provided further, that the termination right described in this Section 15.2.2 shall apply only if [***], and provided further that such failure of Licensee to achieve the Minimum Market Share Requirement (i) is not due to any [***] (including [***]); (ii) not due to any [***] Bioeq's right to notify Licensee of its intent to terminate this Agreement in accordance with the first sentence of this Section 15.2.2 shall apply only until [***] ([***]) days after the [***] ([***]) anniversary of the First Commercial Sale of the first [***] Product in the Field in the Territory, after which Bioeq shall have no further rights under this Section 15.2.2.",Payment Risk
"Except for a breach of Section 11 (""Confidentiality""), and without limiting a Party's indemnification obligations hereunder, in no event shall either Party be liable to the other Party in any manner for any special, non- compensatory, consequential, indirect, incidental, statutory or punitive damages of any kind, including lost profits and lost revenue, regardless of the form of action, whether in contract, tort, product liability or otherwise, even if informed of or aware of the possibility of any such damages in advance, except to the extent that such limitation of liability is contrary to the Applicable Law or any such special, non-compensatory, consequential, indirect, incidental, statutory or punitive damages have been awarded to a Third Party under a Third Party Claim.",Liability Risk
This Limited Power of Attorney shall be revoked and terminated automatically upon the cancellation or termination of the Services Agreement or as to any Fund upon the cancellation or termination of the Adviser's Investment Advisory Contract for such Fund.,Termination Risk
This Limited Power of Attorney shall be governed and construed in accordance with the laws of the Commonwealth of Pennsylvania without reference to principles of conflicts of laws.,Standard Clause
"The term of this Agreement shall begin on the Effective Date and continue in effect for a period of five (5) years (the ""Initial Term""), unless sooner  terminated in accordance with the provisions set out herein.",Termination Risk
"Upon expiration of the Initial Term, this Agreement shall automatically renew for  consecutive one (1) year periods, unless terminated by Reseller within sixty (60) days prior to the expiration of the Initial Term or any renewal term,  as the case may be (the Initial Term and each renewal term, collectively, the ""Term"").",Termination Risk
"This Agreement shall be governed by the laws of the province of Ontario, Canada, without regard to its conflict of laws principles.",Standard Clause
"After the first year and upon 180 days written notice, Reseller may terminate the AMC.",Termination Risk
Either Party may terminate this Agreement:,Payment Risk
(iii) upon providing thirty (30) days' written notice to Reseller if Reseller terminates the provisions of the Annual Minimum Commitment  and fails to meet the sales targets as set out in Schedule 3.,Payment Risk
"During the Term of the Agreement, Reseller shall pay to Diversinet  an Annual Minimum Commitment, payable as follows:    a) A total of four hundred thousand ($400,000) dollars shall be paid by Reseller to Diversinet as of the Effective Date.  b) A total of seven hundred thousand ($700,000) dollars shall be paid by Reseller in quarterly instalments of $175,000 to Diversinet on each of  December 1, 2011, March 1, 2012, June 1, 2012 and September 1, 2012.  c) A total of one million ($1,000,000) dollars shall be paid by Reseller in quarterly instalments of $250,000 to Diversinet on each of December 1,  2012, March 1, 2013, June 1, 2013 and September 1, 2013.  d) A total of one million three hundred thousand ($1,300,000) dollars shall be paid by Reseller in quarterly instalments of $325,000 to Diversinet  on each of December 1, 2013, March 1, 2014, June 1, 2014 and September 1, 2014.  e) A total of one million six hundred thousand ($1,600,000) dollars shall be paid by Reseller in quarterly instalments of $400,000 to Diversinet on  each of December 1, 2014, March 1, 2015, June 1, 2015 and September 1, 2015.",Payment Risk
"Any annual renewal would be subject to the payment, if  applicable, of the AMC as agreed to by the parties, however such AMC will not be less than the previous year AMC times 115%, payable in  applicable quarterly instalments.",Payment Risk
"Diversinet will arrange for the initial personal technical and sales instruction of up to three (3) Reseller personnel for up to five (5) days in  learning the functions, installation, integration, operation and maintenance of the Products.",Payment Risk
"EXCEPT TO THE EXTENT DIRECT FORESEEABLE DAMAGES, IN NO EVENT SHALL DIVERSINET BE LIABLE FOR ANY INDIRECT,  SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES (INCLUDING WITHOUT LIMITATION ANY COMMERCIAL DAMAGES OR  LOSSES) AS A RESULT OF THE USE, SALE OR DISTRIBUTION OF THE BUNDLED PRODUCT, WHETHER BY WAY OF A LEGAL  THEORY OF CONTRACT, TORT (INCLUDING NEGLIGENCE), PRODUCT LIABILITY, STRICT LIABILITY, OR ANY OTHER THEORY,  EVEN IF DIVERSINET HAS BEEN INFORMED OF THE POSSIBILITY OF SUCH DAMAGES.",Liability Risk
"The limitations set forth in Section 15(a), (b), (c), (d) and (e) shall not apply in respect of (i) breach of confidentiality obligations; (ii) breach  of privacy provisions as detailed in Schedule 6; (iii) the intellectual property indemnity; (iv) any Abandonment committed by Diversinet; or  (v) any willful gross misconduct (including fraud). ""Abandonment"" means Diversinet's cessation or suspension of, or refusal to perform, its  obligations under this Agreement, and such cessation, suspension or refusal (i) was knowingly intended by Diversinet to cause harm to  Reseller, and (ii) was not the result of a termination of this Agreement by Diversinet in accordance with Section 4 (Termination).",Liability Risk
"NOTWITHSTANDING THE ABOVE, IN NO EVENT SHALL DIVERSINET'S LIABILITY RELATING TO THIS AGREEMENT (OR THE  BUNDLED PRODUCT) EXCEED ONE HUNDRED PERCENT (100%) OF THE AGGREGATE AMOUNT OF THE LICENSE FEES, ROYALTIES  AND SUPPORT FEES PAID BY RESELLER IN THE TWELVE (12) MONTH PERIOD PRECEDING THE EVENT OR CIRCUMSTANCE  GIVING RISE TO THE ALLEGED LIABILITY ON THE PART OF DIVERSINET.",Liability Risk
"With respect to the Operation  Warranty, Reseller's sole remedy, and Diversinet's sole obligation, shall be to cause the Product to operate substantially in accordance with  its documentation in a timely manner.",Liability Risk
"No action against Diversinet  regardless of form, including negligence, arising out of any claimed breach of this Agreement or transactions under this Agreement may be  brought by Reseller more than two years after the cause of action has accrued.",Liability Risk
"THE FOREGOING STATES OUT THE ENTIRE LIABILITY OF DIVERSINET, AND THE SOLE AND EXCLUSIVE REMEDY OF  RESELLER AND END-USER, WITH RESPECT TO THE INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS BY THE  PRODUCTS.",Liability Risk
"Notwithstanding the foregoing, this Agreement shall expire if the Investment Advisor or one of its affiliates ceases to serve as investment adviser to the Licensee.",Termination Risk
The license granted to the Licensee under this Agreement shall continue perpetually,Termination Risk
"This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York without giving effect to the principles of conflicts of law rules.",Standard Clause
This Agreement shall be terminable (a) by the Licensor,Termination Risk
(ii) upon sixty (60) days' written notice by the Licensee to the Licensor.,Termination Risk
(ii) upon sixty (60) days' written notice by the Licensor to the Licensee or (b) by the Licensee,Termination Risk
"The parties agree that the Investment Advisor shall be a third party beneficiary of this Agreement, and shall have the rights and protections provided to the Licensee under this Agreement.",Standard Clause
"The term of this Agreement (the ""Term"") shall commence on the Effective Date and conclude on October 31, 2010, unless renewed by  agreement or sooner terminated in accordance with this Agreement.",Termination Risk
This Agreement is to be governed and construed according to the laws of the State of New York without regard to conflicts of law.,Standard Clause
"Upon termination of this Agreement, NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY CONSEQUENTIAL,  EXEMPLARY, SPECIAL, INCIDENTAL OR PUNITIVE DAMAGES, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH  DAMAGES, WHICH ARE RELATED TO THE AGREEMENT OR ITS BREACH.",Liability Risk
"CGL coverages shall be written on ISO occurrence form CG 00 01 or a substitute form providing equivalent coverage and shall cover  liabilities arising from events, premises, operations, independent contractors, products-completed operations, personal injury and  advertising injury, and liability assumed under an insured contract.",Indemnity Risk
"Subaru of America, Inc., its parent and subsidiaries shall be included as  additional insureds under the CGL using ISO additional insured endorsement CG 20 10 or a substitute providing equivalent coverage.",Indemnity Risk
Vendor shall maintain commercial general liability (CGL) insurance with a limit of not less than $1 million each occurrence.,Indemnity Risk
"Vendor shall maintain insurance for not less than the following limits and coverage with duly licensed insurance companies having an A.M.  Best rating of A-, X or better.",Indemnity Risk
"The laws of the province of Ontario, Canada, govern this AGREEMENT and,  in respect of any dispute, which may arise hereunder; Agent consents to the jurisdiction of the federal and provincial  courts of Ontario, Canada.",Standard Clause
"In no event shall Kallo be liable for indirect, consequential, or incidental damages (including damages for loss of  business profits, business interruption, loss of business information, and the like) arising out of the relationship  between Kallo and Agent even if it has been advised of the possibility of such damages.",Liability Risk
"Kallo's cumulative liability under this agreement, including any cause of action in contract, tort or strict liability, shall  be limited to the license fees paid by agent during the 12 months prior to such event.",Liability Risk
Agent or its successors shall maintain during the term of this Agreement and while it is still responsible  for its Book of Business:  i.All required workers' compensation or similar insurance;  ii.Comprehensive general liability insurance.,Indemnity Risk
Kallo shall maintain comprehensive general liability and errors and omissions insurance for the  Kallo Mobile care suite of products.,Indemnity Risk
"All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.",Termination Risk
"This Agreement shall be governed by, and its provisions enforced in accordance with, the laws of California without regard to its principles of conflicts of laws.",Standard Clause
All payments shall be made by wire transfer drawn to the account of NFLA-NC no later than ten (10) business days after the end of each quarter as follows:   $0.05 per Unit as described herein of Company's Products sold in the Contract Territory payable to NFLA-NC.,Payment Risk
NFLA to feature Company on all social media channels a minimum of four (4) times per year.,Payment Risk
NFLA to send a minimum of two (2) dedicated e-blasts per year to NFLA database.,Payment Risk
"NFLA to feature Company in Weekly Newsletter ""Partner Spotlight"" a minimum of four (4) times per year.",Payment Risk
"In no event will NFLA be liable for any indirect, incidental, reliance, special or consequential damages arising out of the performance or nonperformance of this Agreement, whether or not NFLA had been advised of the possibility of such damages.",Liability Risk
"Notwithstanding anything to the contrary in this Agreement, if Company incurs any expenses, damages or other liabilities (including but not limited to reasonable attorney's fees) in connection with the performance or nonperformance of any term or provision of this Agreement, NFLA's liability to Company shall not exceed the remuneration, excluding reimbursement of expenses, actually paid to NFLA by Company",Liability Risk
"Company agrees to provide and maintain, at its own expense, general commercial and product liability insurance.",Indemnity Risk
"""Contract Period"" shall mean that period of time commencing on                   January 1, 2000 and concluding December 31, 2003, unless                   terminated sooner as provided herein.",Termination Risk
"This agreement shall be governed by, and its provisions enforced in accordance with, the laws of the State of Ohio, without regard to its principals of conflicts of laws.",Standard Clause
"In the event Duval does not meet                   the Minimum Annual Performance Requirements for a Contract                   Year, $375,000 of the Additional License Fee will be deemed to                   be unearned.",Payment Risk
Licensor agrees that Duval must achieve and maintain Exempt                   Status on the PGA Tour throughout each Contract Year and must                   participate as a player in a minimum of fifteen (15) official                   PGA Tour events each Contract Year (Minimum Annual Performance                   Requirements).,Payment Risk
"In no event will Licensor be liable for any indirect, incidental, reliance, special or consequential damages arising out of the performance or non-performance of this Agreement, whether or not Licensor had been advised of the possibility of such damages.",Liability Risk
"Notwithstanding anything to the contrary herein, in the event Company incurs any expenses, damages or other liabilities (including, without limitation, reasonable attorneys' fees) in connection with the performance or non-performance of any term or provision hereof, Licensor's liability to Company shall not exceed the remuneration, excluding reimbursement of expenses, actually paid to Licensor by Company.",Liability Risk
Any unearned Additional License Fee is fully                 &bbsp; refundable and due Company no later then January 31st of the                   following year.,Liability Risk
"In the event Duval does not meet                   the Minimum Annual Performance Requirements for a Contract                   Year, $375,000 of the Additional License Fee will be deemed to                   be unearned.",Liability Risk
"In the event the Company terminates the                   Agreement in accordance with Section 16, any unearned                   Additional License Fee will be fully refundable and due the                   Company as set forth in Section 16.",Liability Risk
"Company agrees to provide and maintain, at its own expense, general commercial and product liability insurance with limits no less than Three Million Dollars ($3,000,000) and naming Licensor and Duval as additional named insureds.",Indemnity Risk
